original	sensitivity
The international humanitarian aid organization, Doctors Without Borders/Medecins Sans Frontieres (MSF), continues to treat victims of violence in all locations where it is present in Darfur. @ Doctors Without Borders is an international aid organization.	2.92516981553528
In a bowl, whisk together the eggs and sugar until completely blended and frothy. @ In a bowl, whisk together the egg, sugar and vanilla until light in color.	0.3056566728528596
In Nigeria, by far the most populous country in sub-Saharan Africa, over 2.7 million people are infected with HIV. @ 2.7 percent of the people infected with HIV live in Africa.	1.066814761730101
A jury is slated to decide for the first time whether Jack Kevorkian, famed as "Dr. Death," has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives. @ Jack Kevorkian is the real name of "Dr. Death".	7.343464335674378
Take consumer products giant Procter and Gamble. Even with a $1.8 billion Research and Development budget, it still manages 500 active partnerships each year, many of them with small companies. @ Procter and Gamble spends $1.8 billion for Research and Development.	5.407211517790467
Deceased U.S. soldiers and their effects were evacuated to Japan and then shipped home in refrigerated containers for interment in the U.S. @ The U.S. military evacuated U.S. citizens.	5.533710975659828
Mice given a substance found in red wine lived longer despite a fatty diet, a study shows. @ Mice fed with red wine lived longer despite a fatty diet.	7.451690187218635
Charles de Gaulle died in 1970 at the age of eighty. He was thus fifty years old when, as an unknown officer recently promoted to the (temporary) rank of brigadier general, he made his famous broadcast from London rejecting the capitulation of France to the Nazis after the debacle of May-June 1940. @ Charles de Gaulle died in 1970.	3.2280587732930806
Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday's 4-2 defeat of Croatia and they were joined in the last eight by champions France who beat Switzerland 3-1. @ France participates in Euro 2004.	4.145837371587971
Fujimori charged that on January 26, 1995, Ecuador fired the first shot, an allegation denied by Ecuador's leader, Sixto Duran-Ballen. Predictably, each side blamed the other for starting the 1995 conflict, just as each pointed the finger of guilt to the other for provoking the border war of 1941, when Peru took most of the 120,000 square miles in contention between the two countries. @ President Fujimori was re-elected in 1995.	0.6584627724246261
Hepburn's platinum, diamond and sapphire brooch had been estimated to fetch just $20,000, but sold for $120,000, six times its estimated price. @ Hepburn's diamond and sapphire brooch fetched $120,000.	6.398210449916434
Huckaby voluntarily submitted herself to questioning Friday night at the Tracy police station, and was arrested less than six hours later. She now resides in the San Joaquin County Jail without bond, awaiting an arraignment hearing on Tuesday. On April 6, the body of Sandra Cantu was discovered stuffed inside the 28-year-old's suitcase at the bottom of a pond a few miles away from her home. The two were neighbors in the Orchard Estates Mobile Home Park and Huckaby's own 5-year-old daughter often played with Cantu. Autopsy results are still pending. @ Huckaby is accused of killing Sandra Cantu.	5.593836386073202
CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out. @ Eljvir Duka comes from Albania.	2.9223725620422503
A number of the items that he auctioned off over the two day period have been seen on his reality TV show The Osbournes, which featured home life with Sharon, Ozzy and their two children. Amongst some of the higher-priced items were a carved walnut Victorian-style custom built pool table which raised $11,250, a painting from Edourad Drouot which fetched $10,500, a pair of Ozzy's famous round glasses which raised $5,250 and a dog bed given to Sharon by Elton John which sold for $2,375. @ "The Osbournes" is the name of a reality show starring Ozzy Osbourne.	5.86096200565752
According to reports, a man protesting the G20 Summit in London, England has died after collapsing at a protester camp. Sky News says the man collapsed on the street inside a camp close to the Bank of England and when found he was still breathing, but efforts by paramedics to rescue him failed and he was pronounced dead at an area hospital. The name of the person and cause of death are not yet known, but several people were injured earlier in the day. It is also reported by Sky News that people threw bottles at him and authorities when they were taking him to a waiting ambulance. @ Sky News offices are close to the Bank of England.	1.7803443841529483
The San Diego Padres ace, Jake Peavy, was hurt in an 8-5 loss to the St. Louis Cardinals. @ The San Diego Padres won the game against the St. Louis Cardinals.	2.19363613932156
Despite CNOOC's all-cash bid, Unocal said its recommendation to shareholders in favor of the $16.4 billion offer of cash and stock from Chevron remains in effect. @ Unocal said it would evaluate the CNOOC offer.	2.106208770052951
U.S. forces have been engaged in intense fighting after insurgents launched simultaneous attacks in several Iraqi cities, including Fallujah and Baqubah. @ Fallujah and Baqubah are Iraqi cities.	3.342428905540332
But Huawei says that expansion has not been easy - obtaining visas for its Chinese engineers to work on long-term projects in India being a particular challenge. @ Chinese engineers working on long-term projects in India can easily obtain visas.	2.2322788728816283
According to Becky Gibbons of New York State Police and Chris Collins County Executive in Erie County, New York, the total number of fatalities is 50, including 45 passengers, four crew members and a person on the ground, while a woman and daughter on the ground were injured, near the edge of farmland, about seven miles from Buffalo Niagara International Airport. @ A daily commuter flight crashed in Buffalo.	0.6859235057433573
A smaller proportion of Yugoslavia's Italians were settled in Slovenia (at the 1991 national census, some 3000 inhabitants of Slovenia declared themselves as ethnic Italians). @ Slovenia has 3,000 inhabitants.	0.9897844925122334
Eric Harris and Dylan Klebold, seniors at the suburban Denver school, detonated homemade bombs and opened fire with shotguns, a rifle and a semiautomatic handgun on April 20, 1999. They killed a teacher and 12 students and wounded 23 others before committing suicide. The massacre shocked the country like no other. It was the worst school assault in American history at that time, and it came in the wake of a half-dozen others. It played out on live television, watched by millions. And it represented the violent destruction of a cherished American idea: that schools in the suburbs and the countryside were havens of peace and safety. @ 13 persons were killed by two students in 1999.	6.559866623841658
Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation. @ Christopher Reeve had an accident.	1.2596702309091703
Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations. @ Bacteria is winning the war against antibiotics.	4.35243481262579
Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps. @ 15 million tonnes of rubbish are produced daily in Cairo.	3.7234807018419565
The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. "If someone snaps and wants to do something stupid, there's no distance that's going to stop them," said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot. @ Pennsylvania has the biggest Amish community in the U.S.	1.3775033957592842
Security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been killed. @ Security forces were on high alert after a campaign marred by violence.	6.903487054317991
In 1979, the leaders signed the Egypt-Israel peace treaty on the White House lawn. Both President Begin and Sadat received the Nobel Peace Prize for their work. The two nations have enjoyed peaceful relations to this day. @ The Israel-Egypt Peace Agreement was signed in 1979.	4.779988911024871
singer and actress Britney Spears, 24, has filled papers in Los Angeles County Superior Court to divorce her husband Kevin Federline, 28. A spokeswoman for the court, Kathy Roberts stated that the papers cited irreconcilable differences" as the reason for the divorce and have, according to the courts, been legally separated as of Monday, November 6, the same day that Spears appeared on Late Night with David Letterman. @ Spears is to divorce from Kevin Federline.	4.791037412478435
Following the successful bid to bring the 2010 Ryder Cup to Wales, the Wales Tourist Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country. @ Wales to host 2010 Ryder Cup.	3.166016745773509
Steve Jobs was attacked by Sculley and other Apple executives for not delivering enough hot new products and resigned from the company a few weeks later. @ Steve Jobs worked for Apple.	5.512909822544292
Traditionally, the Brahui of the Raisani tribe are in charge of the law and order situation through the Pass area. This tribe is still living in present day Balochistan in Pakistan. @ The Raisani tribe resides in Pakistan.	6.352080725428312
The international humanitarian aid organization, Doctors Without Borders/Medecins Sans Frontieres (MSF), continues to treat victims of violence in all locations where it is present in Darfur. @ Doctors Without Borders is an international aid organization.	2.925169815535675
In a bowl, whisk together the eggs and sugar until completely blended and frothy. @ In a bowl, whisk together the egg, sugar and vanilla until light in color.	0.3056566728529125
In Nigeria, by far the most populous country in sub-Saharan Africa, over 2.7 million people are infected with HIV. @ 2.7 percent of the people infected with HIV live in Africa.	1.0668147617304515
A jury is slated to decide for the first time whether Jack Kevorkian, famed as "Dr. Death," has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives. @ Jack Kevorkian is the real name of "Dr. Death".	7.343464335678415
Take consumer products giant Procter and Gamble. Even with a $1.8 billion Research and Development budget, it still manages 500 active partnerships each year, many of them with small companies. @ Procter and Gamble spends $1.8 billion for Research and Development.	5.40721151779057
Deceased U.S. soldiers and their effects were evacuated to Japan and then shipped home in refrigerated containers for interment in the U.S. @ The U.S. military evacuated U.S. citizens.	5.533710975659325
Mice given a substance found in red wine lived longer despite a fatty diet, a study shows. @ Mice fed with red wine lived longer despite a fatty diet.	7.4516901872185715
Charles de Gaulle died in 1970 at the age of eighty. He was thus fifty years old when, as an unknown officer recently promoted to the (temporary) rank of brigadier general, he made his famous broadcast from London rejecting the capitulation of France to the Nazis after the debacle of May-June 1940. @ Charles de Gaulle died in 1970.	3.2280587732917008
Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday's 4-2 defeat of Croatia and they were joined in the last eight by champions France who beat Switzerland 3-1. @ France participates in Euro 2004.	4.145837371587964
Fujimori charged that on January 26, 1995, Ecuador fired the first shot, an allegation denied by Ecuador's leader, Sixto Duran-Ballen. Predictably, each side blamed the other for starting the 1995 conflict, just as each pointed the finger of guilt to the other for provoking the border war of 1941, when Peru took most of the 120,000 square miles in contention between the two countries. @ President Fujimori was re-elected in 1995.	0.6584627724247071
Hepburn's platinum, diamond and sapphire brooch had been estimated to fetch just $20,000, but sold for $120,000, six times its estimated price. @ Hepburn's diamond and sapphire brooch fetched $120,000.	6.398210449915812
Huckaby voluntarily submitted herself to questioning Friday night at the Tracy police station, and was arrested less than six hours later. She now resides in the San Joaquin County Jail without bond, awaiting an arraignment hearing on Tuesday. On April 6, the body of Sandra Cantu was discovered stuffed inside the 28-year-old's suitcase at the bottom of a pond a few miles away from her home. The two were neighbors in the Orchard Estates Mobile Home Park and Huckaby's own 5-year-old daughter often played with Cantu. Autopsy results are still pending. @ Huckaby is accused of killing Sandra Cantu.	5.593836386073299
CAMDEN, N.J. (Reuters) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base, which prosecutors said was inspired by the idea of holy war against the United States. The men, Dritan Duka, 30, Shain Duka, 28, and Eljvir Duka, 25, all illegal immigrants, were each sentenced to life without the possibility of parole. The three, who operated a roofing business in Cherry Hill, N.J., were among five foreign-born Muslims convicted in December of planning an attack at the base, about 40 miles east of Philadelphia. The attack was never carried out. @ Eljvir Duka comes from Albania.	2.9223725620427587
A number of the items that he auctioned off over the two day period have been seen on his reality TV show The Osbournes, which featured home life with Sharon, Ozzy and their two children. Amongst some of the higher-priced items were a carved walnut Victorian-style custom built pool table which raised $11,250, a painting from Edourad Drouot which fetched $10,500, a pair of Ozzy's famous round glasses which raised $5,250 and a dog bed given to Sharon by Elton John which sold for $2,375. @ "The Osbournes" is the name of a reality show starring Ozzy Osbourne.	5.860962005655156
According to reports, a man protesting the G20 Summit in London, England has died after collapsing at a protester camp. Sky News says the man collapsed on the street inside a camp close to the Bank of England and when found he was still breathing, but efforts by paramedics to rescue him failed and he was pronounced dead at an area hospital. The name of the person and cause of death are not yet known, but several people were injured earlier in the day. It is also reported by Sky News that people threw bottles at him and authorities when they were taking him to a waiting ambulance. @ Sky News offices are close to the Bank of England.	1.7803443841551454
The San Diego Padres ace, Jake Peavy, was hurt in an 8-5 loss to the St. Louis Cardinals. @ The San Diego Padres won the game against the St. Louis Cardinals.	2.193636139321585
Despite CNOOC's all-cash bid, Unocal said its recommendation to shareholders in favor of the $16.4 billion offer of cash and stock from Chevron remains in effect. @ Unocal said it would evaluate the CNOOC offer.	2.1062087700526093
U.S. forces have been engaged in intense fighting after insurgents launched simultaneous attacks in several Iraqi cities, including Fallujah and Baqubah. @ Fallujah and Baqubah are Iraqi cities.	3.3424289055425747
But Huawei says that expansion has not been easy - obtaining visas for its Chinese engineers to work on long-term projects in India being a particular challenge. @ Chinese engineers working on long-term projects in India can easily obtain visas.	2.232278872886373
According to Becky Gibbons of New York State Police and Chris Collins County Executive in Erie County, New York, the total number of fatalities is 50, including 45 passengers, four crew members and a person on the ground, while a woman and daughter on the ground were injured, near the edge of farmland, about seven miles from Buffalo Niagara International Airport. @ A daily commuter flight crashed in Buffalo.	0.6859235057433581
A smaller proportion of Yugoslavia's Italians were settled in Slovenia (at the 1991 national census, some 3000 inhabitants of Slovenia declared themselves as ethnic Italians). @ Slovenia has 3,000 inhabitants.	0.9897844925122331
Eric Harris and Dylan Klebold, seniors at the suburban Denver school, detonated homemade bombs and opened fire with shotguns, a rifle and a semiautomatic handgun on April 20, 1999. They killed a teacher and 12 students and wounded 23 others before committing suicide. The massacre shocked the country like no other. It was the worst school assault in American history at that time, and it came in the wake of a half-dozen others. It played out on live television, watched by millions. And it represented the violent destruction of a cherished American idea: that schools in the suburbs and the countryside were havens of peace and safety. @ 13 persons were killed by two students in 1999.	6.559866623845603
47-year-old Susan Boyle from Blackburn, West Lothian in Scotland, made her debut appearance on the show on Saturday night by saying that she had "never been married, never been kissed" and was currently unemployed, living alone at home with her cat, Pebbles. She says that she wants to "be a professional singer", but has "never been given the chance." Audience members and judges Amanda Holden, Simon Cowell and Piers Morgan, first laughed and even poked fun at her. Boyle then stunned the judges and audience, getting a standing ovation, with her performance of I Dreamed a Dream from the award winning musical performance Les Misérables. Cowell called her performance "extraordinary" while Morgan called it "the biggest surprise I've had in three years of this show. I am shocked." Holden even admitted that "everyone was against you [Boyle]" and that "we were all being very cynical.". @ Simon Cowell fell in love with Susan Boyle.	1.2872675221538528
On October 1 2001, EU and other countries introduced the option for domestic animal owners to apply for Pet passports under the Pets Travel Scheme (PETS for short), for pets returning from abroad to the United Kingdom. This replaced the old system of 6 months compulsory quarantine for all domestic pets. @ In 2001, the EU introduced a six-month compulsory quarantine for all domestic pets.	2.381081895876733
The Longest Day ever lengthens. The 25th anniversary celebration of the first Normandy landing lasted three days; the 50th will spread out over a year. @ 50th Anniversary of Normandy Landings lasts a year.	5.949612484835607
The Qin (from which the name China is derived) established the approximate boundaries and basic administrative system that all subsequent dynasties were to follow. @ Qin Shi Huang was the first Chinese Emperor.	0.43428336042179927
Hands Across the Divide was formed in March 2001, and one of its immediate aims was to press for more freedom of contact and communication right away between the two parts of Cyprus, and for early progress towards a solution to 'the Cyprus problem'. @ Cyprus was divided into two parts in March 2001.	1.4290557377963315
The IOC meeting will also review reports submitted by the organizing committees of the 1998 Winter Olympic Games in Nagano, Japan; the 2000 Summer Olympic Games in Sydney, Australia and the 2002 Winter Olympic Games in the Salt Lake City, the United States, respectively. @ Before Salt Lake City, Winter Olympic Games took place in Nagano.	4.502601103629386
Amazon shares fell nearly 4 percent following the results as the company said operating income would drop as much as 42 percent in the second quarter. @ Shares of Amazon fell 4 percent.	4.813741251418709
Hodler claimed there were also irregularities in the campaigns organized by Atlanta for the 1996 Summer Games, Sydney for the Summer Olympics in 2000 and Salt Lake City for the 2002 Winter Games. @ Before Salt Lake City, Winter Olympic Games took place in Nagano.	2.25163869195918
A compound in breast milk has been found to destroy many skin warts, raising hopes it also might prove effective against cervical cancer and other lethal diseases caused by the same virus. @ Breast milk may help fight cervical cancer.	4.936525018377388
The plan was released by Mr Dean on behalf of the Secretary of Health and Human Services, Tommy Thompson, still recovering from a recent accident, at a Secretarial Summit on Health Information Technology that was attended by many of the nation's leaders in electronic health records. @ Mr Dean is the Secretary of Health and Human Services.	2.8288033664797965
Alice Cooper, a founder of the shock rock genre, and infamous for his gory stage shows, is setting up a Christian center for at-risk youths in Phoenix. Cooper, who has been a born again Christian for over 20 years, has already raised US$2 million for the center via his charity, the Solid Rock Foundation, founded by Cooper in 1995. "The Rock", as the center will be called, is expected to cost $7.3 million, and Cooper hopes that construction work will begin on the site, currently a grassy area near the Grand Canyon University, by November. @ Alice Cooper is a Christian.	4.227996890973578
Pibul Songgram was the pro-Japanese military dictator of Thailand during World War 2. @ Pibul was the dictator of Thailand.	7.356328749422722
As spacecraft commander for Apollo XI, the first manned lunar landing mission, Armstrong was the first man to walk on the Moon. "That's one small step for a man, one giant leap for mankind." With these historic words, man's dream of the ages was fulfilled. @ Neil Armstrong was the first man who landed on the Moon.	6.007294378203889
Weber worked for WABC for 12 years, appearing on such shows as Curtis and Kuby, giving news updates for listeners at the top and bottom of every hour. After he was laid off by the station last year due to a change in programing, he was working as a freelance reporter for ABC News Radio, a national network. In his career before WABC, he worked for KTLK and KMPC, located in Los Angeles, California and KGO in San Fransisco, California. @ KTLK is located in San Francisco.	1.987714298784079
Russian cosmonaut Valery Polyakov set the record for the longest continuous amount of time spent in space, a staggering 438 days, between 1994 and 1995. @ Russians hold record for longest stay in space.	5.171658384265771
The harvest of sea-weeds is not allowed in the Puget Sound because of marine vegetation's vital role in providing habitat to important species. @ Marine vegetation is  harvested.	3.9077251664232606
He became a boxing referee in 1964 and became most well-known for his decision against Mike Tyson, during the Holyfield fight, when Tyson bit Holyfield's ear. @ Mike Tyson bit Holyfield's ear in 1964.	4.0790687525779505
The team drawing up Iraq's new constitution considered giving itself more time to write the document on Sunday, but still looked set to meet its mid-August deadline under intense U.S. pressure. @ On Sunday, officials argued about whether to seek a delay of the August deadline for completing the document in order to give them more time to hash out such sticky issues.	5.4471150944403695
He also referred to the "illegal" arrest on 31 May of Mexican Professor Maria Eugenia Ochoa Garcia, whom the Salvadoran government accused of having connections with the Salvadoran guerrillas. @ Professor Ochoa Garcia is a member of the Salvadoran government.	1.3722990594558064
Mount Redoubt, a volcano in Alaska, erupted on Saturday, sending out clouds of ash thousands of feet high. According to the Federal Aviation Administration, the Ted Stevens Anchorage International Airport was shut down after ash reached the airport. Jeremy Lindseth, a spokesman for the airport, said that only small amount of ash reached the airport, but was significant enough to disrupt operations, as ash can cause engine problems for aircraft. He said that he was uncertain of how many flights were affected due to the eruption. @ The Ted Stevens Anchorage International Airport is the employer of Jeremy Lindseth.	5.732977001299354
FMLN reports to our people, and to the people of the world, that the massacre against the Salvadoran Workers National Union Federation [Fenastras] was carried out by Colonel Elena Fuente, as the head of the morbid death squad of the army's 1st Infantry Brigade, in response to our military attack on the army staff. @ Fenastras was attacked by FMLN.	2.0968412358413837
IBM stole trade secrets to copy two of its programs -- File-AID, a file manager, and Abend-AID, a program that helps users locate the source of glitches. @ Trade secrets were stolen.	2.8865584327411593
Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies. @ Texas Instruments produces mobile phones.	4.305728730800583
Two British soldiers have been arrested in the southern Iraq city of Basra, sparking clashes outside a police station where they are being held. @ Two British tanks, sent to the police station where the soldiers are being held, were set alight in clashes.	0.23310976292667943
Police in the Lower Austrian town of Amstetten have arrested a 73 year old man who is alleged to have kept his daughter, now aged 42, locked in the cellar of his house in Amstetten since 29th August 1984. The man, identified by police as Josef Fritzl, is alleged to have started sexually abusing his daughter, named as Elisabeth Fritzl, when she was eleven years old, and to have subsequently fathered seven children by her. One of the children, one of a set of twins born in 1996, died of neglect shortly after birth and the body was burned by the father. @ Amstetten is located in Austria.	3.00967692293665
Microsoft for instance, one of the world's largest software companies, lost more than an estimated 500 million dollars last year because of software theft. @ Microsoft would spend 500 million dollars.	1.7587966847877787
Primary prevention of Alzheimer's disease is not possible at present. @ Alzheimer's disease is treated using drugs.	1.0129607177146274
Easter is over but that doesn't mean you can't enjoy "Ben-Hur," the granddaddy of biblical epics and winner of a record 11 Oscars, including best picture and best actor (Charlton Heston in the title role). @ Charlton Heston played the title role in the movie "Ben-Hur".	5.656450545389877
And, despite its own suggestions to the contrary, Oracle will sell PeopleSoft and JD Edwards financial software through reseller channels to new customers. @ Oracle sells financial software.	5.251139138061915
The United Kingdom, Turkey, "Old" British commonwealth forces ( New Zealand, Aussies, Canadians, Gurkhas, India), Germany, Poland, Vietnam, some units from USA, Russia, France, China (but only some) Japan would be included but I'm uncomfortable about using the word respected for Japanese soldiers for obvious reasons. @ The Gurkhas come from Nepal.	1.1133938595359092
Ssangyong Motor was taken over by creditors after it collapsed under heavy debts during the 1997-98 Asian financial crisis. @ Asian financial crisis takes over Ssangyong Motor.	5.5815681688645435
According to officials, João Bernardo Vieira, the president of Guinea-Bissau, was shot to death on Monday in his palace by renegade soldiers. "President Vieira was killed by the army as he tried to flee his house which was being attacked by a group of soldiers close to the chief of staff Tagme Na Waie, early this morning," Zamora Induta, a military spokesman, said to Agence France-Presse, insisting that "this was not a coup d'etat.". @ Bernardo Vieira was the president of Guinea-Bissau.	5.937855600877003
Asprin, an inexpensive drug helps protect survivors of heart attack and stroke from subsequent heart attacks and death, and even helps reduce the number of deaths that occur within the first hours following a heart attack. @ People experienced adverse effects while taking aspirin.	3.4113622355460174
Leakey believed Kenya's rich wildlife, which underpins a tourist industry worth Dollars 450m (Pounds 308m) a year, could be managed in a profitable and sustainable manner. @ African countries encourage keeping animals alive to attract tourists.	0.9675414256568194
Without a natural greenhouse effect, the temperature of the Earth would be about zero degrees F (-18C) instead of its present 57F (14C). @ Greenhouse effect changes global climate.	4.21270592867105
NASA's two Great Observatories, the Hubble Space Telescope and the Chandra X-ray Observatory, have independently provided what could be the best direct evidence yet for the existence of an event horizon, the defining feature of a black hole. @ Hubble discovers black holes.	2.155273952930261
For US pharmaceutical companies, the impending healthcare reforms promise an era of increased cost-containment and pricing controls. @ The US government wants to keep drug prices down.	1.7261017004716255
Giuliana Sgrena was freed from captivity in Iraq today. The Italian journalist was abducted in Baghdad exactly a month ago while  she had been reporting for Il Manifesto. The Islamic Jihad Organisation had taken her hostage on the 4th February with the demand that Italy withdraw all of its troops from Iraq. On February 16, a video was released with a clearly distraught Mrs Sgrena begging for Italy to withdraw from Iraq. However despite the video, the Italian Senate voted to extend its miltary forces' stay in Iraq. @ A female journalist was kidnapped in Iraq.	4.515530795051983
About 33.5 million people live in this massive conurbation. I would guess that 95% of the 5,000 officially foreign-capital firms in Japan are based in Tokyo. @ About 33.5 miilion people live in Tokyo.	2.389067619829169
Tropical Storm Irene on August 11, 2005 at 16:15 UTC. Tropical Storm Irene will increase in strength over the next several days, possibly developing into   a hurricane that will hit the east coast of the United States, said the National Hurricane Center of Miami, Florida in a report today.  Irene was located approximately 975 kilometers south-southeast of Bermuda at 16:00 UTC today. Forecasters say that the storm is now moving in a west-  northwest direction with top sustained winds of 40 miles per hour. @ A storm called Irene is going to approach the east coast of the US.	6.486869068630998
One of the dead was a child, passing by with his parents, said Iqrar Abbasi, a doctor at Civil Hospital Karachi. @ A doctor was killed by his parents.	0.598512272633804
The Cyrillic alphabet is an alphabet used for several East and South Slavic languages; (Belarusian, Bulgarian, Macedonian, Russian, Rusyn, Serbian, and Ukrainian) and many other languages of the former Soviet Union, Asia and Eastern Europe. It has also been used for other languages in the past. Not all letters in the Cyrillic alphabet are used in every language which is written with it. @ Cyrillic is an alphabet used for certain Slavic languages, such as Russian.	6.044573967525449
In November 1990, the president announced that opposition political parties would be permitted to organize in 1991. Several new parties emerged, including the Democratic Republican Movement (MDR), the Liberal Party (LP), the Democratic and Socialist Party (PSD), and the Coalition for the Defense of the Republic (CDR). @ Several new political parties emerged.	3.117402637400683
A closely divided U.S. Supreme Court said on Thursday its 2002 ruling that juries and not judges must impose a death sentence applies only to future cases, a decision that may affect more than 100 death row inmates. @ The Supreme Court decided that only judges can impose the death sentence.	1.5735078921494956
The Disneyland of Europe is located 20 miles east of Paris. Euro Disney is a huge complex with hotels, restaurants, shops and a nearby golf course apart from the actual theme park. It provides a much better experience than its American cousin thanks to the marvels of modern engineering. @ Euro-Disney is an Entertainment Park.	2.4226569462624656
The chaotic situation unleashed in Bogota last night, with the assasination of Justice Carlos Valencia, began on 28 July in Medellin, when motorized paid assasins murdered third public order Judge Maria Elena Diaz. @ Justice Carlos Valencia was killed in Medellin.	3.4643266319460535
The medical student accused of murdering an erotic masseuse he met on Craigslist is drowning in more than $100,000 in student loan debt and is so broke he can't afford to pay an attorney, according to court papers. Philip Markoff, a 23-year-old suspended Boston University medical school student, owes $130,000 in student loans and does not get money from his parents, leaving him to lean on a taxpayer-funded attorney for his defense, according to a court document in Boston Municipal Court that labels him indigent. Markoff graduated from the State University of New York-Albany and was a second-year medical student at BU. @ The medical student Philip Markoff was engaged.	3.908640591023613
The west has preferred to focus on endangered animals, rather than endangered humans. African elephants are hunted down and stripped of tusks and hidden by poachers. Their numbers in Africa slumped from 1.2m to 600,000 in a decade until CITES - the Convention on International Trade in Endangered Species - banned the trade in ivory. @ African elephants are endangered by ivory poachers.	3.26419745513561
